,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,caravelas,32.0,BR,1535965617.0,100.0,-17.73,-39.27,75.01,13.0
1,sao filipe,100.0,CV,1535965617.0,100.0,14.9,-24.5,78.16,12.55
2,kapaa,90.0,US,1535963520.0,100.0,22.08,-159.32,75.02,5.82
3,ushuaia,20.0,AR,1535961600.0,96.0,-54.81,-68.31,37.4,6.93
4,victoria,75.0,BN,1535963400.0,70.0,5.28,115.24,87.8,9.17
5,rikitea,92.0,PF,1535965619.0,100.0,-23.12,-134.97,70.69,28.66
6,lincoln,1.0,US,1535963700.0,99.0,40.8,-96.67,73.04,3.36
7,saint-philippe,75.0,CA,1535964900.0,94.0,45.36,-73.48,73.4,4.7
8,hobart,75.0,AU,1535963400.0,66.0,-42.88,147.33,50.0,6.93
9,arraial do cabo,32.0,BR,1535965620.0,90.0,-22.97,-42.02,72.22,12.66
11,faya,20.0,SA,1535961600.0,19.0,18.39,42.45,89.6,9.17
12,puerto ayora,56.0,EC,1535965621.0,100.0,-0.74,-90.35,68.17,10.09
13,havelock,1.0,US,1535964360.0,100.0,34.88,-76.9,77.0,4.5
14,atuona,0.0,PF,1535965622.0,98.0,-9.8,-139.03,79.96,16.24
16,zhicheng,0.0,CN,1535965622.0,43.0,35.04,112.59,89.05,7.63
17,east london,90.0,ZA,1535964720.0,87.0,-33.02,27.91,57.2,27.51
18,nuevo ideal,92.0,MX,1535965623.0,100.0,24.89,-105.07,55.12,2.82
19,upernavik,76.0,GL,1535965623.0,100.0,72.79,-56.15,36.76,18.81
21,baykit,20.0,RU,1535965624.0,69.0,61.68,96.39,50.8,6.51
22,nome,90.0,US,1535964780.0,90.0,30.04,-94.42,77.0,4.7
23,lata,92.0,IN,1535965624.0,100.0,30.78,78.62,61.42,1.03
24,kashan,0.0,IR,1535965625.0,19.0,33.99,51.44,89.32,9.19
25,ribeira grande,40.0,PT,1535963400.0,78.0,38.52,-28.7,71.6,14.99
26,bredasdorp,0.0,ZA,1535961600.0,63.0,-34.53,20.04,62.6,2.24
27,cabedelo,40.0,BR,1535961600.0,100.0,-6.97,-34.84,69.8,6.93
